name,description,tagline,website_url,source_code,ideas_link,contributor_guidance_url,license,logo_url,categories,tech_tags,topic_tags,contact_links,direct_comm_methods,social_comm_methods,ideas_link_type,ideas_link_file,ideas_link_word_count
MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It has been set up to build community maintained databases and make them available in the public domain or under Creative Commons licenses.

Our data is mostly gathered by volunteers and verified by peer review to ensure it is consistent and correct. All non-commercial use of this data is free, but commercial users are asked to support us in order to help fund the project. We encourage all data users to contribute to the data gathering process so that our data can be as comprehensive as possible.

With this data we are building a music social network and bias free music recommendations.","Open music / book metadata, music recommendations",https://metabrainz.org,https://github.com/metabrainz,https://wiki.musicbrainz.org/Development/Summer_of_Code/2024,https://wiki.musicbrainz.org/Development/Summer_of_Code/2024,GPL-2.0,https://summerofcode.withgoogle.com/media/org/metabrainz-foundation-inc/m7lax42edddowwnl-360.png,"Data, Media","python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network","https://metabrainz.org/contact, suppport@metabrainz.org, https://twitter.com/metabrainz","https://metabrainz.org/contact, suppport@metabrainz.org",https://twitter.com/metabrainz,Webpage,MetaBrainz Foundation Inc.txt,447
National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB, https://www.nrnb.org) organizes the development of free, open-source software technologies to enable network-based visualization, analysis, and biomedical discovery. Biomedical research is increasingly dependent on knowledge expressed in terms of networks, including gene, protein and drug interactions, cell-cell and viral-host communication, and vast social networks. Our technologies enable researchers to assemble and analyze these networks and to use them to better understand biological systems and, in particular, how they fail in disease. 
The NRNB mentoring organization includes projects such as Cytoscape (https://cytoscape.org/), WikiPathways (https://wikipathways.org/), SBML (https://sbml.org/), and SBGN (https://sbgn.github.io/). This is a great opportunity to work at the intersection of biology and computing! For example, Cytoscape is downloaded over 18,000 times per month by researchers. We take mentoring seriously and are proud of our 95% success rate (https://www.nrnb.org/alumni.html#gsoc-tab) with former students and projects. But don’t take our word for it, read testimonials from prior NRNB students (https://www.nrnb.org/testimonials.html#student-tab) and (https://www.nrnb.org/testimonials.html#mentor-tab).",Developing open source tools for network biology,https://nrnb.org/gsoc.html,https://github.com/nrnb,https://github.com/nrnb/GoogleSummerOfCode/issues,https://docs.google.com/document/d/1Zi6L38CHEeq2aL6xzv0Ozhd_Y6D71W3yCBGHplmxr6k/edit?usp=sharing,LGPL-2.1,https://summerofcode.withgoogle.com/media/org/national-resource-for-network-biology-nrnb/5uobjboaxnzrxyoj-360.png,Science and medicine,"python, javascript, java, html, r","web application, data science, graphics, scientific computing, network biology","https://github.com/nrnb/GoogleSummerOfCode/issues, alex.pico@gladstone.ucsf.edu, https://groups.google.com/g/cytoscape-helpdesk, https://twitter.com/cytoscape","https://github.com/nrnb/GoogleSummerOfCode/issues, alex.pico@gladstone.ucsf.edu, https://groups.google.com/g/cytoscape-helpdesk",https://twitter.com/cytoscape,GitHub Issues,National Resource for Network Biology (NRNB).txt,887
ArduPilot,"ArduPilot is the world's most widely used open source flight code software for unmanned autonomous vehicles including planes, multicopters, helicopters, cars, boats, submarines, blimps, antenna trackers and much more.

Written primarily in C++, ArduPilot supports over 70 different types of autopilot hardware including the well known Pixhawk autopilot.

Our team motto, ""Versatile, Trusted, Open"" reflects our team's aim to provide high quality autopilot software that reliably supports a huge variety of frames, sensors and use cases.  The software is open but so is the team, always welcoming of new contributors whether they be software developers, wiki documentors, testers or users.",World's most advanced autonomous vehicle software,https://ardupilot.org/,https://github.com/ArduPilot,https://ardupilot.org/dev/docs/gsoc-ideas-list.html#gsoc-ideas-list,https://ardupilot.org/dev/docs/gsoc.html,GPL-3.0,https://summerofcode.withgoogle.com/media/org/ardupilot/oveqvcxkpgkuv8wq-360.png,"Science and medicine, End user applications","python, lua, c++, pixhawk","robotics, Drone, autonomous vehicle, UGV, unmanned vehicle","https://discord.com/channels/674039678562861068/805671364873682954, https://discuss.ardupilot.org/c/google-summer-of-code/131, https://www.facebook.com/groups/ArduPilot.org/, https://twitter.com/ardupilotteam?lang=en","https://discord.com/channels/674039678562861068/805671364873682954, https://discuss.ardupilot.org/c/google-summer-of-code/131","https://www.facebook.com/groups/ArduPilot.org/, https://twitter.com/ardupilotteam?lang=en",Webpage,ArduPilot.txt,2000
FOSSology,"FOSSology is an open source license compliance software system and toolkit. As a toolkit you can run license, copyright and export control scans from the command line. As a system, a database and web UI are provided to give you a compliance workflow. License, copyright and export scanners are tools used in the workflow.",Open Source License Compliance by OSS,https://fossology.org,https://github.com/fossology/fossology,https://fossology.github.io/gsoc/docs/2024/GSoC-projects,,GPL-2.0,https://summerofcode.withgoogle.com/media/org/fossology/bqfblnvpsqnfg5bh-360.png,"Web, Security","python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation","fossology-devel@fossology.org, https://fossology.slack.com/, https://fossology.org","fossology-devel@fossology.org, https://fossology.slack.com/",https://fossology.org,Webpage,FOSSology.txt,1548
OpenVINO Toolkit,"Learning and practicing AI is not easy. Deploying AI in real applications is challenging and complex. We realized that and created OpenVINO – an open-source toolkit for bringing AI models to life on the most widespread and available platforms like x86 CPUs, but also Intel GPUs and NPUs that make up an AI PC. One can use OpenVINO to optimize own model for high performance with the most advanced model optimization capabilities and run those through OpenVINO runtime on various devices. 

We are driven by the idea of making it easy for a regular person to learn and use AI with minimal investments and unlock innovation (such as LLMs and Gen AI) to a broad audience. We allow AI inference on the most widespread and popular platforms and provide pre-trained models, educational and visual demos, image annotation tools, and model training templates to get you up to speed. With good use-case coverage and simple/educational API, OpenVINO is also a toolkit of choice for AI in production by plenty of companies. It is a fully production-ready software solution.",Make AI inference faster and easier to deploy!,https://docs.openvino.ai/,https://github.com/openvinotoolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code#application-template,Apache-2.0,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,"Development tools, Artificial Intelligence","python, c++, x86","ai, deep learning, neural network, inference, gen ai","https://github.com/openvinotoolkit/openvino/discussions, https://medium.com/openvino-toolkit",https://github.com/openvinotoolkit/openvino/discussions,https://medium.com/openvino-toolkit,Webpage,OpenVINO Toolkit.txt,6826
Sugar Labs,"Sugar is an activity-focused, free/libre open-source software learning platform for children. Collaboration, reflection, and discovery are integrated directly into the user interface. Through Sugar's clarity of design, children and teachers have the opportunity to use computers on their own terms. Students can reshape, reinvent, and reapply both software and content into powerful learning activities. Sugar's focus on sharing, criticism, and exploration is grounded in the culture of free software (FLOSS)",Learning software for children,https://sugarlabs.org,https://github.com/sugarlabs,https://github.com/sugarlabs/GSoC/blob/master/Ideas-2024.md,https://github.com/sugarlabs/GSoC,GPL-3.0,https://summerofcode.withgoogle.com/media/org/sugar-labs/pgbt7fp6gr6lhihd-360.png,"End user applications, Programming languages","python, gtk, typescript, javascipt","education, games, desktop","https://lists.sugarlabs.org/listinfo/sugar-devel, https://matrix.to/#/#sugar:matrix.org",https://lists.sugarlabs.org/listinfo/sugar-devel,https://matrix.to/#/#sugar:matrix.org,Webpage,Sugar Labs.txt,3056
Kotlin Foundation,"Kotlin is a modern programming language that makes developers happier.

JetBrains and Google are the current and founding members of the Kotlin Foundation. They work together to promote and advance the Kotlin language for many platforms, including Android, servers, iOS, and other targets. Today, 100+ people work on the core Kotlin project team at JetBrains & Google. There are an additional 350+ independent contributors to the core language and thousands contributing to the broader Kotlin ecosystem.

The Kotlin Foundation's responsibilities include:
 - Preservation the Kotlin trademarks
 - Appoint the Lead Language Designer
 - Control incompatible changes to the language",Advance the Kotlin programming language,https://kotlinfoundation.org/,https://github.com/jetbrains/kotlin,https://kotlinlang.org/docs/gsoc-2024.html#project-ideas,https://kotlinlang.org/docs/gsoc-2024.html,Apache-2.0,https://summerofcode.withgoogle.com/media/org/kotlin-foundation/2wyghqyy8nvvl4cq-360.png,"Programming languages, Development tools","gradle, kotlin, jvm, Parsers & Compilers, Multiplatform","compilers, programming languages, software development, libraries, Programming & Build Tools","gsoc@kotlinfoundation.org, https://slack-chats.kotlinlang.org/c/gsoc, https://twitter.com/kotlin, https://blog.jetbrains.com/kotlin/","gsoc@kotlinfoundation.org, https://slack-chats.kotlinlang.org/c/gsoc","https://twitter.com/kotlin, https://blog.jetbrains.com/kotlin/",Webpage,Kotlin Foundation.txt,1348
UC OSPO,"The UCSC Open Source Program Office (OSPO) supports open source work throughout the University of California system. Beginning in 2022, we took over the programmatic responsibilities of the UCSC Center for Research in Open Source Software (CROSS), including mentorship activities such as GSoC. Following in line with the earlier work of CROSS, the OSPO creates partnerships with stakeholders within and outside the UC system in order to help students learn from open source communities, support scientists in using open source to accelerate research efforts, and connect students and scientists with sponsors from industry, government, and foundations. The OSPO helps bridge the gap between academic research and successful open source projects by promoting innovative projects maintained by UC-affiliated scientists and researchers. We support the transfer of cutting-edge technology resulting from UC-originating research to industry via successful open source projects. Due to the multi-campus nature of our current efforts, the projects we support and promote cover a wide range of topics and technologies - including:

- Open Source Hardware
- AI / Machine Learning
- Storage Systems and Devices
- Data Management
- Visualization
- Performance analysis
- Reproducibility
- Cloud-based computation
All of our mentors are scientists and researchers who are actively involved in one or more of these open source projects.",Amplifying Research Impact through Open Source,https://ucsc-ospo.github.io/osre24/,https://github.com/uccross,https://ucsc-ospo.github.io/osre24/#projects,https://ospo.ucsc.edu/osre/#forstudents,LGPL-2.1,https://summerofcode.withgoogle.com/media/org/center-for-research-in-open-source-software-cross/ndbkr7fqcqp4nguq-360.png,"Infrastructure and cloud, Artificial Intelligence","python, c/c++, machine learning, verilog, VLSI","education, hardware, storage, AI/ML, I/O","https://osre2023.slack.com/archives/C04NR8RRAFM, ospo-info-group@ucsc.edu, https://ucsc-ospo.github.io/#blog","https://osre2023.slack.com/archives/C04NR8RRAFM, ospo-info-group@ucsc.edu",https://ucsc-ospo.github.io/#blog,Webpage,UC OSPO.txt,4214
Postman,Postman is an API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can create better APIs—faster.,The Future is API-First,https://postman.com,https://github.com/postman-open-technologies,https://github.com/postman-open-technologies/gsoc-2024,https://github.com/postman-open-technologies/gsoc-2024,Apache-2.0,https://summerofcode.withgoogle.com/media/org/postman/iw5h0aed8pe5yind-360.png,"Data, Development tools","javascript, api, openapi, AsyncAPI, JSON Schema","testing, api, automation, documentation, data","gsoc@postman.com, https://community.postman.com/c/open-technology/gsoc/42, https://twitter.com/getpostman","gsoc@postman.com, https://community.postman.com/c/open-technology/gsoc/42",https://twitter.com/getpostman,Webpage,Postman.txt,1048
IOOS,"IOOS is our eyes on the ocean, coasts, and Great Lakes. We are an integrated network of people and technology gathering observing data and developing tracking and predictive tools to benefit the economy, the environment, and public safety at home, across the nation, and around the globe.","Our eyes on the ocean, coasts, and Great Lakes",https://ioos.noaa.gov/,https://github.com/ioos,https://github.com/ioos/gsoc/blob/main/2024/ideas-list.md,https://github.com/ioos/gsoc/blob/main/contributor-guidance.md,BSD-3-Clause-LBNL,https://summerofcode.withgoogle.com/media/org/ioos/oe7caipkhwnizoyr-360.png,"Science and medicine, Data","python, javascript, java, ocean science, Scientific Python","open data, data science, data management, Oceanography","micah.wengren@noaa.gov, https://gitter.im/ioos, https://groups.google.com/g/ioos_tech/, https://twitter.com/usioosgov","micah.wengren@noaa.gov, https://gitter.im/ioos, https://groups.google.com/g/ioos_tech/",https://twitter.com/usioosgov,Webpage,IOOS.txt,386
Jenkins,"Short description:

Jenkins is a popular open source automation server which is used for building, testing, CI/CD, deployment and many other use-cases. Our motto is ""Build great things at any scale"".

Long description:

Jenkins, originally founded in 2006 as ""Hudson"", is one of the leading automation servers. Jenkins' motto is ""Build great things at any scale"". Using an extensible, plugin-based architecture, developers have created hundreds of plugins to adapt Jenkins to a multitude of build, test, and deployment automation workloads. As Jenkins is open-source, MIT License is used for most of the components.

This year we invite potential GSoC contributors to join the Jenkins community and to work together to improve Jenkins. We have many strategic project ideas which are important to potentially hundreds of thousands of Jenkins users.

The project has over 600 active contributors working on Jenkins core, plugins, website, project infrastructure, localization activities, etc. In total we have more than 2,000 components including plugins, libraries, and various utilities. The main languages in the project are Java, Groovy and JavaScript, but we also have components written in other languages (Go, C/C++, C#, etc.). Jenkins project includes multiple sub-projects (including Configuration-as-Code, Infrastructure and Remoting) and special interest groups. These entities participate in GSoC as a part of the Jenkins project.

The Jenkins project is a part of Continuous Delivery Foundation (CDF).","Jenkins, build great things at any scale",https://jenkins.io/,https://github.com/jenkinsci/,https://www.jenkins.io/projects/gsoc/2024/project-ideas/,https://www.jenkins.io/projects/gsoc/students/,MIT,https://summerofcode.withgoogle.com/media/org/jenkins-wp/7qlgfron9nyj194y-360.png,"Programming languages, Development tools","javascript, java, go, docker, kubernetes","developer tools, automation, continuous integration, continuous delivery, devops","https://gitter.im/jenkinsci/gsoc-sig, https://community.jenkins.io/c/contributing/gsoc/6, https://twitter.com/jenkinsci, https://www.jenkins.io/node/","https://gitter.im/jenkinsci/gsoc-sig, https://community.jenkins.io/c/contributing/gsoc/6","https://twitter.com/jenkinsci, https://www.jenkins.io/node/",Webpage,Jenkins.txt,935
Scala Center,"We are an independent not-for-profit center established at EPFL. Scala Center's Mission is to guide and support the Scala community, coordinate and develop open-source libraries and tools for the benefit of all Scala users, provide deep, and quality, educational materials for Scala.",Guide and support the Scala community,https://scala-lang.org/,https://github.com/scala,https://github.com/scalacenter/GoogleSummerOfCode,,Apache-2.0,https://summerofcode.withgoogle.com/media/org/scala-center/f5qjbrwguri7g3sv-360.png,"Programming languages, Development tools","scala, scala.js, scala native","education, compilers, tooling","scala.center@epfl.ch, https://twitter.com/scala_lang/",scala.center@epfl.ch,https://twitter.com/scala_lang/,Webpage,Scala Center.txt,2222
OpenCV,"OpenCV promotes the beneficial uses of computer vision in society primarily through maintaining a state-of-the-art open and free code base and via courseware, contests, workshops and conferences. 

OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms (including running deep networks) and apps. It is professionally coded and optimized. It can be used in C++, Python, javascipt, Julia, Cuda, OpenCL and Matlab. It runs on: Android, iOS, Windows, Linux and MacOS and many embedded implementations such as Raspberry Pi, Movidius, and RISC-V.",++ beneficial uses of computer vision in society,https://opencv.org/,https://github.com/opencv/opencv,https://github.com/opencv/opencv/wiki/GSoC_2024,https://github.com/opencv/opencv/wiki/How_to_contribute,Apache-2.0,https://summerofcode.withgoogle.com/media/org/opencv/fmh9fnybaz97kodm-360.png,"Media, Artificial Intelligence","python, c++, deep learning, ai","robotics, computer vision, ai, deep learning","https://groups.google.com/g/opencv-gsoc-202x, https://twitter.com/opencvlibrary, https://forum.opencv.org/, https://www.facebook.com/opencvlibrary, https://open-cv.slack.com/",https://groups.google.com/g/opencv-gsoc-202x,"https://twitter.com/opencvlibrary, https://forum.opencv.org/, https://www.facebook.com/opencvlibrary, https://open-cv.slack.com/",Webpage,OpenCV.txt,3905
Jitsi,"Jitsi is a set of Open Source projects which empower users to deploy secure, scalable and easy to use video conferencing platforms with state-of-the-art video quality and features.",State-of-the-art video conferencing,https://jitsi.org,https://github.com/jitsi/,https://github.com/jitsi/gsoc-ideas/blob/master/2024/README.md,https://jitsi.github.io/handbook/docs/dev-guide/dev-guide-contributing,Apache-2.0,https://summerofcode.withgoogle.com/media/org/jitsi/p3456ygkk7vdq0or-360.png,"Media, Web","javascript, java, react, kotlin, webrtc","video, multimedia, video conferencing, WebRTC","https://community.jitsi.org/, gsoc@jitsi.org, https://x.com/jitsinews","https://community.jitsi.org/, gsoc@jitsi.org",https://x.com/jitsinews,Webpage,Jitsi.txt,134
KolibriOS Project Team,"KolibriOS is a tiny open-source graphical operating system for x86 (and compatible) architecture computers, developed and maintained by the KolibriOS Project Team. It contains a monolithic kernel that runs in 32-bit protected mode and supports full preemptive multitasking.

KolibriOS is a fork of MenuetOS, written almost entirely in FASM (assembly language). However, C, Sphinx C--, C++, Free Pascal, Forth, among other high-level languages and compilers, can also be used in user application development (although FASM is preferred).

The OS features a rich set of applications that include a word processor, image viewer, graphical editor, textual web browser, and over 30 games. Full FAT12/16/32 and EXT2/3/4 support is implemented, as well as read-only support for NTFS, ISO9660 and XFS. Drivers are written for popular sound, network and graphics cards.

KolibriOS is VERY light on system requirements, using as little as 1MB of disk space and 8MB RAM to run. In terms of processing power, Intel®'s original Pentium® (P5 microarchitecture) or compatible CPU is sufficient to fully enjoy KolibriOS. We strive to become the OS of choice for all older computers, and provide their owners full modern OS experience.",A tiny and fast operating system in fasm,https://kolibrios.org,https://github.com/KolibriOS,https://wiki.kolibrios.org/wiki/Ideas_Page,,GPL-2.0,https://summerofcode.withgoogle.com/media/org/kolibrios-project-team/mrtxpzuxixjqff62-360.png,Operating systems,"c, assembly, asm, fasm, pci","kernel, operating system, drivers, OS, low-level","https://board.kolibrios.org, https://web.libera.chat/#kolibrios, https://t.me/kolibri_os, https://discord.com/invite/FeB2NvE6bF, https://board.kolibrios.org","https://board.kolibrios.org, https://web.libera.chat/#kolibrios, https://t.me/kolibri_os, https://discord.com/invite/FeB2NvE6bF",https://board.kolibrios.org,Webpage,KolibriOS Project Team.txt,3699
Git,"Git is the most widely-used revision control system in Open Source. It is a distributed system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows.

Many large and successful projects use Git, including the Linux Kernel, Perl, Eclipse, Gnome, KDE, Qt, Ruby on Rails, Android, PostgreSQL, Debian, and X.org.

This organization covers projects for Git itself. Other git-based software or services are not covered by this organization.","Fast,Scalable,Distributed revision control system",https://git-scm.com/,https://github.com/git/git,https://git.github.io/SoC-2024-Ideas/,https://git.github.io/General-Application-Information/,GPL-2.0,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,"Programming languages, Development tools","shell script, git, c language","version control, dvcs","https://git-scm.com/community, https://git-scm.com/community, git@vger.kernel.org","https://git-scm.com/community, https://git-scm.com/community, git@vger.kernel.org",,Webpage,Git.txt,967
CRIU,"CRIU (stands for Checkpoint/Restore In Userspace), is a Linux software. It can freeze a running container (or an individual application) and checkpoint its state to disk. The data saved can be used to restore the application and run it exactly as it was during the time of the freeze. Using this functionality, application or container live migration, snapshots, remote debugging, and many other things are now possible. 
CRIU is packaged for all leading Linux distributions and it is integrated wit lots of popular projects such as Docker, Podman, LXC/LXD, OpenVZ,  runc,  open-mpi and others",Chekpoint/Restore for Linux tasks and containers,https://criu.org,https://github.com/checkpoint-restore/criu,https://criu.org/Google_Summer_of_Code_Ideas,https://github.com/checkpoint-restore/criu/blob/criu-dev/CONTRIBUTING.md,GPL-2.0,https://summerofcode.withgoogle.com/media/org/criu/ypjxpancpwtdf698-360.png,"Operating systems, Infrastructure and cloud","c, python, linux, go","cloud, containers, Checkpoint/Restore","criu@openvz.org, https://gitter.im/save-restore/CRIU, https://criu.org","criu@openvz.org, https://gitter.im/save-restore/CRIU",https://criu.org,Webpage,CRIU.txt,2025
CloudCV,"CloudCV is a young open source cloud platform started in 2013 by students and faculty from Machine Learning and Perception Lab at Virginia Tech (now at Georgia Tech) with the aim to make AI research more reproducible. At CloudCV, we are building tools that enable researchers to build, compare and share state-of-the-art algorithms. We believe that one shouldn't have to be an AI expert to have access to cutting edge vision algorithms. Likewise, researchers shouldn't have to worry about building a service around their deep learning models to showcase and share it with others.",Building platforms for reproducible AI Research,https://cloudcv.org/,https://github.com/Cloud-CV/,https://gsoc.cloudcv.org/,https://github.com/Cloud-CV/GSoC-Ideas/wiki/GSOC-2024-Proposal-Template,BSD-3-Clause,https://summerofcode.withgoogle.com/media/org/cloudcv/mxq9gvskhg4i5lyw-360.png,"Data, Web","python, django, docker, angularjs, aws","machine learning, artificial intelligence, computer vision, deep learning, AI/ML","https://gitter.im/Cloud-CV/EvalAI, https://groups.google.com/forum/#!forum/cloudcv, https://twitter.com/project_cloudcv, https://twitter.com/eval_ai, https://www.facebook.com/mlcloudcv","https://gitter.im/Cloud-CV/EvalAI, https://groups.google.com/forum/#!forum/cloudcv","https://twitter.com/project_cloudcv, https://twitter.com/eval_ai, https://www.facebook.com/mlcloudcv",Webpage,CloudCV.txt,832
LLVM Compiler Infrastructure,"The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Despite its name, LLVM has little to do with traditional virtual machines. The name ""LLVM"" itself is not an acronym; it is the full name of the project.

LLVM began as a research project at the University of Illinois, with the goal of providing a modern, SSA-based compilation strategy capable of supporting both static and dynamic compilation of arbitrary programming languages. Since then, LLVM has grown to be an umbrella project consisting of a number of subprojects, many of which are being used in production by a wide variety of commercial and open source projects as well as being widely used in academic research.

In addition to official subprojects of LLVM, there are a broad variety of other projects that use components of LLVM for various tasks. Through these external projects you can use LLVM to compile Ruby, Python, Haskell, Rust, D, PHP, Pure, Lua, Julia, and a number of other languages. A major strength of LLVM is its versatility, flexibility, and reusability, which is why it is being used for such a wide variety of different tasks: everything from doing light-weight JIT compiles of embedded languages like Lua to compiling Fortran code for massive super computers.",LLVM Compiler Infrastructure,http://www.llvm.org,https://github.com/llvm/llvm-project/,https://llvm.org/OpenProjects.html,https://discourse.llvm.org/t/gsoc-2022-projects-proposals-and-other-information/60386,Apache-2.0,https://summerofcode.withgoogle.com/media/org/llvm-compiler-infrastructure/ize6lrlftlvdxtqe-360.png,"Programming languages, Development tools","llvm, c++, clang, mlir","compilers, development tools, libraries","https://discourse.llvm.org/c/community/gsoc/32, https://discord.com/channels/636084430946959380/642374147640524831, https://blog.llvm.org/, https://twitter.com/llvmorg","https://discourse.llvm.org/c/community/gsoc/32, https://discord.com/channels/636084430946959380/642374147640524831","https://blog.llvm.org/, https://twitter.com/llvmorg",Webpage,LLVM Compiler Infrastructure.txt,26957
Nightwatch.js,"Nightwatch.js is an integrated testing framework powered by Node.js and using the W3C Webdriver API. It provides a complete testing solution and can be used for a wide range of testing needs, including:

* End-to-end testing of web applications and websites, on both desktop and mobile devices.
* Component testing in isolation (React / Vue / Storybook / Angular).
* Unit testing, Visual Regression testing, Accessibility testing, and API testing.
* Native mobile app testing on Android & iOS.",An integrated testing framework powered by Node.js,https://nightwatchjs.org,https://github.com/nightwatchjs/nightwatch,https://github.com/nightwatchjs/mentorship/blob/main/google-summer-of-code/GSoC-2024-Ideas.md,https://github.com/nightwatchjs/mentorship/blob/main/google-summer-of-code/GSoC-contributor-guidance.md,MIT,https://summerofcode.withgoogle.com/media/org/nightwatchjs/slpwnkwtngatafl1-360.png,"Programming languages, Web","javascript, selenium, node.js, typescript, WebDriver","unit testing, Functional Testing, End-To-End Testing, Component testing, Native mobile app testing","https://discord.com/invite/SN8Da2X, https://twitter.com/nightwatchjs, https://nightwatchjs.org/blog/",https://discord.com/invite/SN8Da2X,"https://twitter.com/nightwatchjs, https://nightwatchjs.org/blog/",Webpage,Nightwatch.js.txt,1355
sktime,"sktime provides an easy-to-use, flexible and modular open-source framework for a wide range of time series machine learning tasks. It offers scikit-learn compatible interfaces and model composition tools, with the goal to make the ecosystem more usable and interoperable as a whole. We build and sustain an open, diverse and self-governing community, welcoming new contributors from academia and industry through instructive documentation, mentoring and workshops.",A unified framework for ML with time series,https://www.sktime.net/en/stable/,https://github.com/sktime/sktime,https://github.com/sktime/mentoring/blob/main/internships/projects_2024.md,https://www.sktime.net/en/stable/get_involved.html,BSD-3-Clause,https://summerofcode.withgoogle.com/media/org/sktime/x2i3dxljtj04sqw0-360.png,"Data, Artificial Intelligence","python, github, sphinx, scikit-learn","data science, ai, time series, toolbox frameworks","https://discord.com/invite/54ACzaFsn7, https://github.com/sktime/sktime/discussions, https://www.linkedin.com/company/scikit-time/","https://discord.com/invite/54ACzaFsn7, https://github.com/sktime/sktime/discussions",https://www.linkedin.com/company/scikit-time/,Webpage,sktime.txt,832
Python Software Foundation,"Python is a programming language that lets you work more quickly and integrate your systems more effectively.

The Python Software Foundation serves as an umbrella organization to a
variety of Python-related projects, as well as sponsoring projects related to the
development of the Python language.

You can view a full list of participating sub-orgs here:
https://python-gsoc.org/ideas.html

Sub-orgs:
- Borg Collective - backup tools
- CVE Binary Tool - scanning for known security vulnerabilities
- DIPY - 3d/4d+ imaging
- Fury - scientific visualization tools
- LPython - ahead of time compiler for python
- MNE-Python - tools for human neurophysiological data
- Mission Support System - atmospheric science tools for flight planning
- PyData/Sparse - n-dimensional sparse arrays for pyData
- PyElastica - simulation and modeling for slender structures",A programming language used for science & more,https://python-gsoc.org/,https://python-gsoc.org/ideas.html,https://python-gsoc.org/ideas.html,https://python-gsoc.org/index.html#gettingstarted,Python-2.0,https://summerofcode.withgoogle.com/media/org/python-software-foundation/2vpxhpvcsvgyx3kg-360.png,"Science and medicine, Programming languages","python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup","https://mail.python.org/mailman/listinfo/gsoc-general, https://python-gsoc.org/index.html#contact, https://blogs.python-gsoc.org/en/","https://mail.python.org/mailman/listinfo/gsoc-general, https://python-gsoc.org/index.html#contact",https://blogs.python-gsoc.org/en/,Webpage,Python Software Foundation.txt,1369
Haiku,"Haiku is a fast, efficient, easy to use and lean open source operating system inspired by the BeOS that specifically targets personal computing.

Haiku is not a Linux distribution, nor does it use the Linux kernel. Haiku is the spiritual successor to BeOS and it is derived from the NewOS kernel, which was authored by Travis Geiselbrecht (geist), who was formerly employed by Be Inc. — the developers of BeOS.

Linux-based distributions stack up software – the Linux kernel, the X Window System, and various DEs with disparate toolkits such as GTK+ and Qt – that do not necessarily share the same guidelines and/or goals. This lack of consistency and overall vision manifests itself in increased complexity, insufficient integration, and inefficient solutions, making the use of your computer more complicated than it should actually be.

Instead, Haiku has a single focus on personal computing and is driven by a unified vision for the whole OS. That, we believe, enables Haiku to provide a leaner, cleaner and more efficient system capable of providing a better user experience that is simple and uniform throughout.",Operating system that targets personal computing.,https://www.haiku-os.org,https://www.haiku-os.org/guides/building/get-source-git,https://www.haiku-os.org/community/gsoc/2024/ideas,https://www.haiku-os.org/community/gsoc/2024/contributors,MIT,https://summerofcode.withgoogle.com/media/org/haiku/lnrgd3agfl2kogbo-360.png,"Operating systems, End user applications","c++, posix, unix","desktop, kernel, network, media, gui","https://www.haiku-os.org/community/irc, https://discuss.haiku-os.org, https://www.haiku-os.org/community/ml, https://www.haiku-os.org/blog/","https://www.haiku-os.org/community/irc, https://discuss.haiku-os.org, https://www.haiku-os.org/community/ml",https://www.haiku-os.org/blog/,Webpage,Haiku.txt,4749
